id,title,description,thumbnail,categoryId,price,content
11,AMERICANO,"Americano được pha chế bằng cách thêm nước vào một hoặc hai shot Espresso để pha loãng độ đặc của cà phê, từ đó mang lại hương vị nhẹ nhàng, không gắt mạnh và vẫn thơm nồng nàn.
    ","https://product.hstatic.net/1000075078/product/americano_copy_92414ac8e0634fb48ea72b21bc496b43_master.jpg
",2,39000,
12,CAPPUCCINO,"Cappuccino được gọi vui là thức uống ""một-phần-ba"" - 1/3 Espresso, 1/3 Sữa nóng, 1/3 Foam.
    ","https://product.hstatic.net/1000075078/product/cappuccino_af58b143de7e4faeb9a3ce59b313c946_master.jpg
",2,45000,
13,CARAMEL MACCHIATO,"Vị thơm béo của bọt sữa và sữa tươi, vị đắng thanh thoát của cà phê Espresso hảo hạng, và vị ngọt đậm của sốt caramel.
    ","https://product.hstatic.net/1000075078/product/caramel_macchiato_24ff98b746e84b7aba702c01a60b1a52_master.jpg
",2,55000,
14,BÁNH BÔNG LAN TRỨNG MUỐI,"Ngọt dịu kết hợp với trứng muối và chà bông đậm đà, cân bằng vị giác
    ","https://product.hstatic.net/1000075078/product/trungmui1_9abf7c43946b44e9948dbac1eff95e40_master.jpg
",1,29000,
15,"BÁNH CHOCOLATE
    ","Từng lớp bánh mịn ngọt ngào đậm vị chiều lòng người yêu thích hương vị sô cô la
    ","https://product.hstatic.net/1000075078/product/choco_1x1_4faf8c80e6604cad88ce30528e2bd409_master.jpg
",1,29000,
16,BÁNH CROISSANT BƠ TỎI,"Thưởng thức ngay chiếc bánh Croissant bơ tỏi thơm lừng, bên ngoài vỏ bánh giòn hấp dẫn bên trong mềm dai vị ngon khó cưỡng.",https://product.hstatic.net/1000075078/product/sungtrau_1x1_0e9a3e2590794cb9a6ff7ad9d9562c25_master.jpp,1,29000,"<p>
        <meta charset=""utf-8"">
    </p>
    <p>
        <meta charset=""utf-8"">
    </p>
    <h3 style='box-sizing: border-box; font-family: BebasNeue, Lato, ""Times New Roman"", serif; font-weight: 700; line-height: 1.4; color: rgb(0, 0, 0); margin: 0px 0px 30px; font-size: 42px; border: 0px; outline: 0px; padding: 0px; vertical-align: baseline; position: relative; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: center; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;'>THỨC ĂN Y&Ecirc;U TH&Iacute;CH CỦA MỌI NGƯỜI</h3>
    <p style=""box-sizing: border-box; margin: 30px 0px 0px; border: 0px; font-size: 21px; outline: 0px; padding: 0px; vertical-align: baseline; line-height: 30px; font-weight: 300; color: rgb(0, 0, 0); font-family: Lato, sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: center; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><span style=""box-sizing: border-box; border: 0px; font-size: 21px; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">Với m&agrave;u xanh m&aacute;t mắt của bột tr&agrave; Matcha, vị ngọt nhẹ nh&agrave;ng, pha trộn c&ugrave;ng sữa tươi v&agrave; lớp foam mềm mịn, Matcha Latte l&agrave; thức uống y&ecirc;u th&iacute;ch của tất cả mọi người khi gh&eacute; The Coffee House.</span></p>
    <p style=""box-sizing: border-box; margin: 30px 0px 0px; border: 0px; font-size: 21px; outline: 0px; padding: 0px; vertical-align: baseline; line-height: 30px; font-weight: 300; color: rgb(0, 0, 0); font-family: Lato, sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: center; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><span style=""box-sizing: border-box; border: 0px; font-size: 21px; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">Kh&ocirc;ng những c&oacute; hương vị tuyệt vời, Matcha c&ograve;n chứa h&agrave;m lượng chất chống oxy h&oacute;a cao v&agrave; nguồn caffein tốt cho sức khỏe. Nếu Cappucinno hay Latte c&oacute; hơi &quot;qu&aacute; sức&quot; đối với bạn, ch&uacute;ng t&ocirc;i gợi &yacute; bạn n&ecirc;n thử Matcha Latte - Bạn sẽ cảm thấy sảng kho&aacute;i v&agrave; tỉnh t&aacute;o suốt một ng&agrave;y d&agrave;i đấy.</span></p>
    <p style=""box-sizing: border-box; margin: 30px 0px 0px; border: 0px; font-size: 21px; outline: 0px; padding: 0px; vertical-align: baseline; line-height: 30px; font-weight: 300; color: rgb(0, 0, 0); font-family: Lato, sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: center; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><span style=""box-sizing: border-box; border: 0px; font-size: 21px; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;"">Trong những ng&agrave;y thời tiết n&oacute;ng bức, h&atilde;y nhớ dặn những Barista tại The Coffee House thay thế ly Matcha Latte n&oacute;ng của bạn bằng Matcha Latte đ&aacute; m&aacute;t lạnh nh&eacute;!</span></p>
    
   "
15,BÁNH GẤU CHOCOLATE,"Với vẻ ngoài đáng yêu và hương vị ngọt ngào, thơm béo nhất định bạn phải thử ít nhất 1 lần.","https://product.hstatic.net/1000075078/product/gau_1x1_8b308db3a67a47688ff0d69a8c5615bf_master.jpg
",1,29000,
17,BÁNH MATCHA,Khám phá từng tầng vị trà xanh thơm lừng xen kẽ lớp kéo béo dịu với đậu đỏ.,"https://product.hstatic.net/1000075078/product/matcha_178bdeeb1f9b47ea9f782048eb145f49_master.jpg
",1,29000,
18,BÁNH MÌ CHÀ BÔNG PHÔ MAI,"Bạn không thể bỏ lỡ chiếc bánh với lớp phô mai vàng sánh mịn bên trong, được bọc ngoài lớp vỏ xốp mềm thơm lừng. Thêm lớp chà bông mằn mặn hấp dẫn bên trên.",https://product.hstatic.net/1000075078/product/phomaichabong_1x1_e86c140c8a084458afcace64a93d2fd1_master.jpP,1,32000,
19,BÁNH PASSION CHEESE,"Tận hưởng chiếc bánh mát lạnh với sự kết hợp hoàn hảo của vị béo ngậy của nhân kem phô mai, cân bằng với vị chua thanh từ chanh dây.",https://product.hstatic.net/1000075078/product/chanhday_1x1_da85397059a149e1b886237434f7ce48_master.jpg,1,29000,"<p>
    <meta charset=""utf-8"">
</p>
<p>
    <meta charset=""utf-8"">
</p>
<p>
    <meta charset=""utf-8"">
</p>
<h3 style='box-sizing: border-box; font-family: BebasNeue, Lato, ""Times New Roman"", serif; font-weight: 700; line-height: 1.4; color: rgb(0, 0, 0); margin: 0px 0px 30px; font-size: 42px; border: 0px; outline: 0px; padding: 0px; vertical-align: baseline; position: relative; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: center; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;'>S&oacute;ng s&aacute;nh mộng mơ</h3>
<p style=""box-sizing: border-box; margin: 30px 0px 0px; border: 0px; font-size: 21px; outline: 0px; padding: 0px; vertical-align: baseline; line-height: 30px; font-weight: 300; color: rgb(0, 0, 0); font-family: Lato, sans-serif; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; letter-spacing: normal; orphans: 2; text-align: center; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial;""><span data-sheets-userformat='{""2"":959,""3"":[null,0],""4"":[null,2,13624051],""5"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""6"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""7"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""8"":{""1"":[{""1"":2,""2"":0,""5"":[null,2,0]},{""1"":0,""2"":0,""3"":3},{""1"":1,""2"":0,""4"":1}]},""10"":1,""11"":4,""12"":0}' data-sheets-value='{""1"":2,""2"":""Sóng sánh mộng mơ.\nMứt Việt Quất chua thanh, ngòn ngọt, phối hợp nhịp nhàng với dòng sữa chua bổ dưỡng. Là món sinh tố thơm ngon mà cả đầu lưỡi và làn da đều thích. ""}' style=""box-sizing: border-box; border: 0px; font-size: 21px; margin: 0px; outline: 0px; padding: 0px; vertical-align: baseline;""><br style=""box-sizing: border-box;"">Mứt Việt Quất chua thanh, ng&ograve;n ngọt, phối hợp nhịp nh&agrave;ng với d&ograve;ng sữa chua bổ dưỡng. L&agrave; m&oacute;n sinh tố thơm ngon m&agrave; cả đầu lưỡi v&agrave; l&agrave;n da đều th&iacute;ch.</span></p>"
20,BÁNH TIRAMISU,"Hương vị dễ ghiền được tạo nên bởi chút đắng nhẹ của cà phê, lớp kem trứng béo ngọt dịu hấp dẫn.",,1,40000,
